d,p_los,p_ref_perp,p_tot_perp,p_ref_par,p_tot_par
2.616428399372908054e+00,-5.903353666190882620e+01,-6.616098297276190010e+01,-5.886219990818005243e+01,-6.639738164664468911e+01,-5.778858985684694005e+01
2.631540783323324195e+00,-5.903788915472406984e+01,-6.616215716517527312e+01,-5.906936921500577142e+01,-6.640123145687050510e+01,-5.764458397432527192e+01
2.646740455788388235e+00,-5.904228763870789010e+01,-6.616334463142088396e+01,-5.928609771778252480e+01,-6.640512412302540213e+01,-5.750587405594145451e+01
2.662027920943009107e+00,-5.904673255253597830e+01,-6.616454551770002013e+01,-5.951255000106596071e+01,-6.640906010290483152e+01,-5.737258575957292095e+01
2.677403685874188088e+00,-5.905122433806602800e+01,-6.616575997173481483e+01,-5.974882964833046373e+01,-6.641303985877178206e+01,-5.724484146649054139e+01
2.692868260597841346e+00,-5.905576344033936209e+01,-6.616698814278196039e+01,-5.999495691747220150e+01,-6.641706385739119867e+01,-5.712276158600370479e+01
2.708422158075715291e+00,-5.906035030758208393e+01,-6.616823018164663495e+01,-6.025084014152589162e+01,-6.642113257006450056e+01,-5.700646575406313588e+01
2.724065894232402751e+00,-5.906498539120568125e+01,-6.616948624069615903e+01,-6.051623934324745591e+01,-6.642524647266409943e+01,-5.689607394062935697e+01
2.739799987972457274e+00,-5.906966914580699779e+01,-6.617075647387417803e+01,-6.079072034002528113e+01,-6.642940604566808815e+01,-5.679170747963462418e+01
2.755624961197602030e+00,-5.907440202916781402e+01,-6.617204103671451776e+01,-6.107359749463138598e+01,-6.643361177419478736e+01,-5.669349003439662482e+01
2.771541338824045297e+00,-5.907918450225360374e+01,-6.617334008635532427e+01,-6.136386335574536588e+01,-6.643786414803754781e+01,-5.660154851045569302e+01
2.787549648799887869e+00,-5.908401702921192111e+01,-6.617465378155328892e+01,-6.166010392562704112e+01,-6.644216366169945331e+01,-5.651601392698375292e+01
