step,power_db,theta_deg,phi_deg
1.560000000000000000e+02,-9.521135934452024685e+01,9.079736328125000000e+01,-3.603397905826568604e-01
1.570000000000000000e+02,-9.521000249892239253e+01,9.080517578125000000e+01,-3.638704419136047363e-01
1.580000000000000000e+02,-9.520864047789291362e+01,9.081301879882812500e+01,-3.674141168594360352e-01
1.590000000000000000e+02,-9.520727368625034615e+01,9.082089233398437500e+01,-3.709708452224731445e-01
1.600000000000000000e+02,-9.520590212863203305e+01,9.082879638671875000e+01,-3.745405673980712891e-01
1.610000000000000000e+02,-9.520452660881751683e+01,9.083672332763671875e+01,-3.781233131885528564e-01
1.620000000000000000e+02,-9.520314673126983962e+01,9.084468078613281250e+01,-3.817189931869506836e-01
1.630000000000000000e+02,-9.520176289959059091e+01,9.085266113281250000e+01,-3.853276669979095459e-01
1.640000000000000000e+02,-9.520037471851517807e+01,9.086067962646484375e+01,-3.889492750167846680e-01
1.650000000000000000e+02,-9.519898259140914831e+01,9.086872863769531250e+01,-3.925838172435760498e-01
1.660000000000000000e+02,-9.519758572435479493e+01,9.087680053710937500e+01,-3.962312638759613037e-01
1.670000000000000000e+02,-9.519618332447217313e+01,9.088490295410156250e+01,-3.998916149139404297e-01
1.680000000000000000e+02,-9.519477898528407422e+01,9.089302825927734375e+01,-4.035648703575134277e-01
1.690000000000000000e+02,-9.519336912195993250e+01,9.090119171142578125e+01,-4.072510302066802979e-01
1.700000000000000000e+02,-9.519195334161582878e+01,9.090938568115234375e+01,-4.109500348567962646e-01
1.710000000000000000e+02,-9.519053563298079723e+01,9.091760253906250000e+01,-4.146618843078613281e-01
1.720000000000000000e+02,-9.518911321104783951e+01,9.092584228515625000e+01,-4.183865785598754883e-01
1.730000000000000000e+02,-9.518768727465374013e+01,9.093411254882812500e+01,-4.221241176128387451e-01
1.740000000000000000e+02,-9.518625583797501122e+01,9.094241333007812500e+01,-4.258744418621063232e-01
1.750000000000000000e+02,-9.518482089538211710e+01,9.095074462890625000e+01,-4.296375811100006104e-01
1.760000000000000000e+02,-9.518338125763266078e+01,9.095910644531250000e+01,-4.334135055541992188e-01
1.770000000000000000e+02,-9.518193653205980809e+01,9.096749114990234375e+01,-4.372021853923797607e-01
1.780000000000000000e+02,-9.518048871069454719e+01,9.097590637207031250e+01,-4.410036802291870117e-01
1.790000000000000000e+02,-9.517903700233921427e+01,9.098435211181640625e+01,-4.448179006576538086e-01
1.800000000000000000e+02,-9.517758061686507176e+01,9.099282073974609375e+01,-4.486449062824249268e-01
1.810000000000000000e+02,-9.517611995609861708e+01,9.100131988525390625e+01,-4.524845778942108154e-01
1.820000000000000000e+02,-9.517465542134247869e+01,9.100984954833984375e+01,-4.563370347023010254e-01
1.830000000000000000e+02,-9.517318622329675293e+01,9.101840972900390625e+01,-4.602021574974060059e-01
1.840000000000000000e+02,-9.517171395308866977e+01,9.102699279785156250e+01,-4.640800058841705322e-01
1.850000000000000000e+02,-9.517023623547521538e+01,9.103560638427734375e+01,-4.679705500602722168e-01
1.860000000000000000e+02,-9.516875545390790592e+01,9.104424285888671875e+01,-4.718737900257110596e-01
