phi,Ed_dB,Etot_dB
132.3864,-7.4606,-0.7971
132.5464,-7.6311,-0.1482
132.7065,-7.7977,0.4205
132.8666,-7.9605,0.9128
133.0267,-8.1197,1.3335
133.1868,-8.2755,1.6871
133.3468,-8.4279,1.9776
133.5069,-8.5771,2.2088
133.6670,-8.7232,2.3834
133.8271,-8.8664,2.5042
133.9872,-9.0066,2.5730
134.1472,-9.1441,2.5916
134.3073,-9.2789,2.5612
134.4674,-9.4112,2.4828
134.6275,-9.5409,2.3573
134.7876,-9.6682,2.1854
134.9476,-9.7932,1.9677
135.1077,-9.9159,1.7050
135.2678,-10.0365,1.3984
135.4279,-10.1549,1.0498
135.5879,-10.2712,0.6618
135.7480,-10.3855,0.2389
135.9081,-10.4979,-0.2122
136.0682,-10.6084,-0.6817
136.2283,-10.7171,-1.1550
136.3883,-10.8240,-1.6127
136.5484,-10.9292,-2.0297
