step,rx_x_m,rx_y_m,rx_z_m,loss,power_db,ground_truth_power_db
1.280000000000000000e+02,9.580760955810546875e+00,-5.320194363594055176e-01,1.500000000000000000e+00,1.314788311719894409e-01,-9.540260616046140285e+01,-9.545272361794536664e+01
1.290000000000000000e+02,9.591630935668945312e+00,-5.201004743576049805e-01,1.500000000000000000e+00,1.251023262739181519e-01,-9.540389234887727810e+01,-9.545272361794536664e+01
1.300000000000000000e+02,9.602302551269531250e+00,-5.084372758865356445e-01,1.500000000000000000e+00,1.190072447061538696e-01,-9.540515799544131426e+01,-9.545272361794536664e+01
1.310000000000000000e+02,9.612771034240722656e+00,-4.970159232616424561e-01,1.500000000000000000e+00,1.131855323910713196e-01,-9.540639889631572146e+01,-9.545272361794536664e+01
1.320000000000000000e+02,9.623032569885253906e+00,-4.858234524726867676e-01,1.500000000000000000e+00,1.076240390539169312e-01,-9.540761837972654291e+01,-9.545272361794536664e+01
1.330000000000000000e+02,9.633084297180175781e+00,-4.748479723930358887e-01,1.500000000000000000e+00,1.023144349455833435e-01,-9.540881391467381434e+01,-9.545272361794536664e+01
1.340000000000000000e+02,9.642923355102539062e+00,-4.640785753726959229e-01,1.500000000000000000e+00,9.724630415439605713e-02,-9.540998422451542638e+01,-9.545272361794536664e+01
1.350000000000000000e+02,9.652547836303710938e+00,-4.535053670406341553e-01,1.500000000000000000e+00,9.241139888763427734e-02,-9.541113012683028671e+01,-9.545272361794536664e+01
1.360000000000000000e+02,9.661956787109375000e+00,-4.431193768978118896e-01,1.500000000000000000e+00,8.779703825712203979e-02,-9.541225202135157701e+01,-9.545272361794536664e+01
1.370000000000000000e+02,9.671148300170898438e+00,-4.329125285148620605e-01,1.500000000000000000e+00,8.340047299861907959e-02,-9.541335030863832856e+01,-9.545272361794536664e+01
1.380000000000000000e+02,9.680123329162597656e+00,-4.228776693344116211e-01,1.500000000000000000e+00,7.920464873313903809e-02,-9.541442119655158649e+01,-9.545272361794536664e+01
1.390000000000000000e+02,9.688881874084472656e+00,-4.130084216594696045e-01,1.500000000000000000e+00,7.520905882120132446e-02,-9.541546382584881769e+01,-9.545272361794536664e+01
1.400000000000000000e+02,9.697425842285156250e+00,-4.032992720603942871e-01,1.500000000000000000e+00,7.139889150857925415e-02,-9.541648698664150174e+01,-9.545272361794536664e+01
1.410000000000000000e+02,9.705755233764648438e+00,-3.937453627586364746e-01,1.500000000000000000e+00,6.776780635118484497e-02,-9.541748185254039072e+01,-9.545272361794536664e+01
1.420000000000000000e+02,9.713872909545898438e+00,-3.843425214290618896e-01,1.500000000000000000e+00,6.430902332067489624e-02,-9.541845386065284629e+01,-9.545272361794536664e+01
1.430000000000000000e+02,9.721781730651855469e+00,-3.750872910022735596e-01,1.500000000000000000e+00,6.101343780755996704e-02,-9.541939837743515795e+01,-9.545272361794536664e+01
1.440000000000000000e+02,9.729483604431152344e+00,-3.659767210483551025e-01,1.500000000000000000e+00,5.787628516554832458e-02,-9.542032126377779377e+01,-9.545272361794536664e+01
1.450000000000000000e+02,9.736981391906738281e+00,-3.570084273815155029e-01,1.500000000000000000e+00,5.488936603069305420e-02,-9.542121746576088981e+01,-9.545272361794536664e+01
1.460000000000000000e+02,9.744279861450195312e+00,-3.481805622577667236e-01,1.500000000000000000e+00,5.204319208860397339e-02,-9.542208864718544703e+01,-9.545272361794536664e+01
1.470000000000000000e+02,9.751381874084472656e+00,-3.394916355609893799e-01,1.500000000000000000e+00,4.933496564626693726e-02,-9.542294235607334940e+01,-9.545272361794536664e+01
1.480000000000000000e+02,9.758291244506835938e+00,-3.309405744075775146e-01,1.500000000000000000e+00,4.675712063908576965e-02,-9.542376681497366064e+01,-9.545272361794536664e+01
1.490000000000000000e+02,9.765011787414550781e+00,-3.225266635417938232e-01,1.500000000000000000e+00,4.430152848362922668e-02,-9.542457293579651889e+01,-9.545272361794536664e+01
1.500000000000000000e+02,9.771549224853515625e+00,-3.142494857311248779e-01,1.500000000000000000e+00,4.196657612919807434e-02,-9.542535440218946974e+01,-9.545272361794536664e+01
1.510000000000000000e+02,9.777906417846679688e+00,-3.061088323593139648e-01,1.500000000000000000e+00,3.974426165223121643e-02,-9.542611456465854758e+01,-9.545272361794536664e+01
1.520000000000000000e+02,9.784089088439941406e+00,-2.981047332286834717e-01,1.500000000000000000e+00,3.763061389327049255e-02,-9.542685299143867894e+01,-9.545272361794536664e+01
1.530000000000000000e+02,9.790101051330566406e+00,-2.902373373508453369e-01,1.500000000000000000e+00,3.562165051698684692e-02,-9.542757640136858299e+01,-9.545272361794536664e+01
1.540000000000000000e+02,9.795948028564453125e+00,-2.825070023536682129e-01,1.500000000000000000e+00,3.371012583374977112e-02,-9.542827216621616060e+01,-9.545272361794536664e+01
1.550000000000000000e+02,9.801633834838867188e+00,-2.749140858650207520e-01,1.500000000000000000e+00,3.189276531338691711e-02,-9.542895121229959443e+01,-9.545272361794536664e+01
1.560000000000000000e+02,9.807164192199707031e+00,-2.674590647220611572e-01,1.500000000000000000e+00,3.016482107341289520e-02,-9.542961395257776758e+01,-9.545272361794536664e+01
1.570000000000000000e+02,9.812542915344238281e+00,-2.601423859596252441e-01,1.500000000000000000e+00,2.852449752390384674e-02,-9.543025659163028251e+01,-9.545272361794536664e+01
1.580000000000000000e+02,9.817774772644042969e+00,-2.529645264148712158e-01,1.500000000000000000e+00,2.696581371128559113e-02,-9.543088122522928529e+01,-9.545272361794536664e+01
