x,magnitude,phase
1.535275e-01,5.100305e-01,3.003375e+01
1.549495e-01,5.116743e-01,2.997711e+01
1.563847e-01,5.133204e-01,2.992031e+01
1.578331e-01,5.149686e-01,2.986336e+01
1.592950e-01,5.166190e-01,2.980626e+01
1.607704e-01,5.182716e-01,2.974899e+01
1.622595e-01,5.199262e-01,2.969157e+01
1.637624e-01,5.215830e-01,2.963400e+01
1.652792e-01,5.232419e-01,2.957627e+01
1.668101e-01,5.249029e-01,2.951838e+01
1.683551e-01,5.265658e-01,2.946034e+01
1.699144e-01,5.282308e-01,2.940214e+01
1.714882e-01,5.298977e-01,2.934378e+01
1.730766e-01,5.315666e-01,2.928528e+01
1.746796e-01,5.332374e-01,2.922661e+01
1.762975e-01,5.349102e-01,2.916779e+01
1.779304e-01,5.365847e-01,2.910882e+01
1.795785e-01,5.382612e-01,2.904969e+01
1.812418e-01,5.399394e-01,2.899041e+01
1.829205e-01,5.416195e-01,2.893098e+01
1.846147e-01,5.433012e-01,2.887139e+01
1.863246e-01,5.449848e-01,2.881165e+01
1.880504e-01,5.466700e-01,2.875175e+01
1.897922e-01,5.483569e-01,2.869170e+01
1.915501e-01,5.500455e-01,2.863150e+01
1.933242e-01,5.517356e-01,2.857115e+01
1.951148e-01,5.534274e-01,2.851064e+01
1.969220e-01,5.551207e-01,2.844998e+01
1.987460e-01,5.568155e-01,2.838917e+01
2.005868e-01,5.585119e-01,2.832821e+01
2.024447e-01,5.602097e-01,2.826710e+01
2.043197e-01,5.619089e-01,2.820583e+01
2.062122e-01,5.636095e-01,2.814442e+01
2.081222e-01,5.653116e-01,2.808285e+01
